"success","error","totalTime","logs","steps"
true,,31,"[""Connected to ws://localhost:3000"",""Sent: {\""event\"":\""auth\"",\""token\"":\""token123\""}"",""Received: {\""event\"":\""auth_success\"",\""userId\"":\""token123\""}"",""Sent: {\""event\"":\""join\"",\""room\"":\""test-room\""}"",""Received: {\""event\"":\""joined\"",\""room\"":\""test-room\""}"",""Sent: {\""event\"":\""message\"",\""text\"":\""Hello from SnapSocket!\""}"",""Received: {\""event\"":\""message_ack\"",\""text\"":\""Hello from SnapSocket!\""}"",""Disconnected""]",8
true,,17,"[""Connected to ws://localhost:3000"",""Sent: {\""event\"":\""auth\"",\""token\"":\""token123\""}"",""Received: {\""event\"":\""auth_success\"",\""userId\"":\""token123\""}"",""Sent: {\""event\"":\""join\"",\""room\"":\""test-room\""}"",""Received: {\""event\"":\""joined\"",\""room\"":\""test-room\""}"",""Sent: {\""event\"":\""message\"",\""text\"":\""Hello from SnapSocket!\""}"",""Received: {\""event\"":\""message_ack\"",\""text\"":\""Hello from SnapSocket!\""}"",""Disconnected""]",8
